Delivery_person_Age,Delivery_person_Ratings,Weather_conditions,Road_traffic_density,Vehicle_condition,Type_of_order,Type_of_vehicle,multiple_deliveries,Festival,City,Time_taken (min),distance,Prepn_Time
28.0,4.6,Fog,Medium,2,Meal,scooter,0.0,No,Metropolitian,33,12.054608307353124,15
27.0,4.7,Sunny,High,1,Meal,scooter,1.0,No,Metropolitian,12,6.071715179305134,5
25.0,4.6,Stormy,Low,2,Drinks,scooter,0.0,No,Metropolitian,17,1.5271741659788676,10
31.0,4.9,Sunny,Jam,1,Meal,motorcycle,1.0,No,Urban,17,11.905704284153522,15
28.0,4.9,Sunny,Low,2,Drinks,motorcycle,1.0,No,Urban,15,3.1380694073889375,10
38.0,5.0,Sandstorms,Jam,1,Meal,scooter,1.0,No,Metropolitian,30,9.344374455922596,15
20.0,5.0,Cloudy,Medium,1,Drinks,motorcycle,1.0,No,Metropolitian,27,19.731126349230966,15
37.0,4.9,Fog,Jam,2,Drinks,motorcycle,1.0,No,Metropolitian,48,13.390474440530125,10
38.0,5.0,Cloudy,Medium,2,Snack,scooter,2.0,No,Metropolitian,36,12.235374461806085,10
20.0,5.0,Windy,Jam,0,Snack,motorcycle,0.0,No,Metropolitian,37,12.396903135321507,5
37.0,4.4,Sandstorms,Medium,2,Buffet,scooter,0.0,No,Metropolitian,34,20.39744277518833,5
20.0,4.7,Cloudy,Low,2,Buffet,scooter,0.0,No,Metropolitian,23,10.586423596984105,10
30.0,4.8,Fog,Jam,1,Drinks,scooter,0.0,No,Metropolitian,29,7.757289219988708,10
36.0,4.3,Stormy,Low,0,Buffet,motorcycle,1.0,No,Metropolitian,33,3.04770688372384,10
33.0,4.9,Fog,Low,0,Buffet,motorcycle,1.0,No,Urban,24,3.0547851251152043,10
34.0,4.9,Sandstorms,Low,2,Meal,scooter,0.0,No,Metropolitian,28,4.707104052532131,10
25.0,4.8,Sunny,Jam,1,Buffet,scooter,1.0,No,Urban,11,10.58671194847277,15
25.0,5.0,Sandstorms,Jam,2,Drinks,motorcycle,1.0,No,Metropolitian,29,4.464007619139333,10
30.0,4.7,Fog,Low,3,Snack,motorcycle,0.0,No,Metropolitian,31,9.176411719332265,0
38.0,4.8,Fog,Low,2,Snack,electric_scooter,0.0,No,Metropolitian,15,7.845173108613386,5
35.0,4.1,Cloudy,Jam,1,Snack,scooter,2.0,No,Metropolitian,49,20.212464687922555,10
38.0,4.9,Stormy,Jam,0,Snack,motorcycle,1.0,No,Metropolitian,33,4.664723158590265,5
35.0,4.9,Windy,High,0,Meal,motorcycle,1.0,No,Metropolitian,47,1.551405569120894,15
34.0,4.8,Windy,High,0,Meal,motorcycle,1.0,No,Metropolitian,35,3.0990232373642685,15
34.0,4.7,Sunny,Low,0,Drinks,motorcycle,1.0,No,Urban,29,1.5690347154047222,10
34.0,4.6,Cloudy,Low,0,Meal,motorcycle,1.0,No,Urban,26,3.102925877447916,5
26.0,4.8,Stormy,Low,2,Snack,scooter,1.0,No,Metropolitian,16,4.464152609112947,15
20.0,4.7,Windy,Medium,0,Snack,motorcycle,0.0,No,Metropolitian,15,7.556245151701681,10
27.0,4.8,Cloudy,Jam,0,Drinks,motorcycle,1.0,Yes,Metropolitian,40,12.081317518219471,10
37.0,3.5,Stormy,Medium,1,Meal,motorcycle,2.0,No,Metropolitian,38,20.16650477947619,15
29.0,4.6,Stormy,Medium,2,Meal,scooter,1.0,No,Urban,18,10.846809182228291,10
30.0,4.6,Windy,Low,1,Buffet,motorcycle,0.0,No,Metropolitian,19,16.79186931198531,5
26.0,4.8,Windy,Low,1,Meal,scooter,0.0,No,Urban,15,3.102770127437017,15
37.0,4.9,Cloudy,Low,0,Drinks,motorcycle,0.0,No,Metropolitian,35,19.340097241457876,10
39.0,4.7,Windy,Jam,0,Meal,motorcycle,1.0,No,Metropolitian,37,20.826810752741338,10
27.0,4.5,Sandstorms,Medium,0,Buffet,motorcycle,0.0,No,Metropolitian,10,5.961659763323107,5
21.0,4.8,Sandstorms,Low,2,Snack,electric_scooter,1.0,No,Metropolitian,18,10.556221362344557,10
35.0,4.7,Stormy,Jam,0,Drinks,motorcycle,0.0,No,Metropolitian,44,9.296679247290683,10
31.0,4.7,Windy,Jam,0,Snack,motorcycle,1.0,No,Semi-Urban,50,16.34983676978736,10
25.0,4.7,Stormy,Low,2,Snack,scooter,0.0,No,Metropolitian,19,1.4904997895635337,5
38.0,4.6,Fog,Jam,1,Snack,motorcycle,1.0,No,Metropolitian,31,4.581394214183779,5
26.0,5.0,Cloudy,Low,0,Meal,motorcycle,0.0,No,Metropolitian,19,9.32905608440423,5
27.0,4.7,Stormy,Jam,2,Drinks,motorcycle,1.0,No,Metropolitian,27,13.591721626631708,15
39.0,4.9,Cloudy,Jam,1,Snack,scooter,1.0,No,Metropolitian,42,20.489547167907006,5
31.0,4.5,Stormy,High,2,Buffet,motorcycle,0.0,No,Metropolitian,25,6.198170058205873,10
29.0,4.8,Cloudy,Low,1,Snack,motorcycle,1.0,No,Metropolitian,24,16.578948791660057,5
25.0,5.0,Sunny,Low,1,Drinks,motorcycle,1.0,No,Metropolitian,21,4.521861258382678,5
37.0,4.9,Stormy,Jam,2,Buffet,scooter,1.0,No,Urban,31,4.64798276860976,15
23.0,4.6,Fog,Jam,0,Meal,motorcycle,2.0,No,Metropolitian,41,19.591169475729576,10
39.0,4.6,Cloudy,Low,0,Meal,motorcycle,1.0,No,Metropolitian,26,1.5180475169383374,5
27.0,4.5,Sandstorms,Medium,1,Drinks,motorcycle,0.0,No,Urban,21,7.58983281153424,5
34.0,4.9,Sandstorms,Medium,0,Drinks,motorcycle,0.0,No,Urban,26,6.1977927664411325,10
38.0,4.8,Cloudy,Medium,1,Snack,motorcycle,1.0,No,Metropolitian,17,7.786384039443414,15
33.0,4.8,Sunny,Jam,0,Snack,motorcycle,1.0,No,Metropolitian,23,7.704659704533892,10
23.0,4.8,Sunny,Low,1,Drinks,scooter,1.0,No,Metropolitian,22,1.5514232908129264,15
31.0,4.6,Sunny,Jam,1,Snack,motorcycle,0.0,No,Metropolitian,21,7.535984017442588,10
35.0,4.7,Windy,Low,1,Buffet,scooter,1.0,No,Urban,23,1.5690347154047222,15
30.0,4.7,Sandstorms,Low,2,Drinks,scooter,1.0,No,Metropolitian,25,1.5549331474367305,5
39.0,4.9,Windy,Medium,0,Buffet,motorcycle,1.0,No,Metropolitian,30,10.58671194847277,10
36.0,4.5,Sunny,Medium,0,Meal,motorcycle,1.0,No,Metropolitian,25,13.592609748364795,10
28.0,4.7,Sunny,Low,0,Snack,motorcycle,1.0,No,Metropolitian,18,7.589769422472331,15
35.0,4.7,Fog,Medium,0,Snack,motorcycle,1.0,No,Metropolitian,26,9.30800788329677,15
29.0,4.8,Sunny,Medium,0,Drinks,motorcycle,1.0,No,Metropolitian,21,6.041529490667355,10
31.0,4.0,Stormy,Jam,0,Drinks,motorcycle,2.0,No,Metropolitian,47,16.635194216784537,15
30.0,4.1,Fog,Low,2,Meal,motorcycle,2.0,No,Metropolitian,39,13.660190417820274,5
39.0,4.6,Sunny,Medium,1,Drinks,motorcycle,1.0,No,Metropolitian,15,12.272430559996877,15
38.0,4.9,Cloudy,Low,0,Meal,motorcycle,0.0,No,Metropolitian,28,1.5341084981789097,15
38.0,4.9,Stormy,High,2,Drinks,scooter,0.0,No,Metropolitian,28,6.205523126932415,5
36.0,4.7,Sunny,High,0,Drinks,motorcycle,0.0,No,Metropolitian,22,2.9763252713823323,15
37.0,4.6,Stormy,Medium,0,Drinks,motorcycle,1.0,No,Metropolitian,25,7.64725366684461,5
31.0,4.6,Stormy,Low,2,Snack,scooter,1.0,No,Urban,20,9.074580779980996,10
30.0,4.9,Fog,Jam,2,Snack,motorcycle,2.0,Yes,Metropolitian,47,11.891277192207232,5
20.0,4.6,Sunny,Medium,2,Meal,scooter,1.0,No,Metropolitian,19,5.855496240181985,10
32.0,4.0,Sandstorms,High,2,Buffet,motorcycle,1.0,No,Metropolitian,34,6.196872084446659,10
36.0,4.8,Cloudy,Medium,1,Drinks,scooter,0.0,No,Metropolitian,15,7.439438614141478,15
34.0,3.7,Stormy,Medium,2,Meal,scooter,1.0,No,Metropolitian,38,19.63267330546414,15
22.0,4.8,Windy,Medium,1,Meal,motorcycle,0.0,No,Urban,24,8.927789411306131,5
38.0,4.6,Stormy,Medium,2,Buffet,scooter,0.0,No,Metropolitian,26,7.439758078683771,5
32.0,4.8,Windy,Low,2,Snack,scooter,1.0,No,Metropolitian,29,1.4639291722377832,10
28.0,4.8,Windy,Jam,2,Buffet,electric_scooter,0.0,No,Metropolitian,17,7.441494565146906,15
23.0,5.0,Windy,Low,2,Buffet,electric_scooter,0.0,No,Urban,17,13.99363480725943,5
39.0,4.0,Windy,Jam,0,Buffet,motorcycle,1.0,No,Metropolitian,44,9.061995111687455,15
29.0,4.7,Stormy,Medium,0,Meal,motorcycle,1.0,No,Metropolitian,19,9.04126320780773,15
39.0,4.4,Cloudy,Medium,2,Snack,electric_scooter,1.0,No,Metropolitian,37,10.844828262382588,10
25.0,4.7,Windy,Medium,2,Snack,motorcycle,1.0,No,Metropolitian,27,17.0403824485857,10
32.0,4.2,Sandstorms,Low,0,Buffet,motorcycle,1.0,No,Metropolitian,31,1.4884329736185136,15
32.0,4.8,Sandstorms,Low,2,Buffet,scooter,0.0,No,Metropolitian,28,3.058767941533623,5
37.0,4.1,Sandstorms,High,0,Drinks,motorcycle,1.0,No,Metropolitian,39,6.107510394065643,5
38.0,4.7,Stormy,Jam,2,Buffet,motorcycle,0.0,No,Metropolitian,27,20.942084312488944,15
27.0,4.6,Fog,Low,1,Buffet,motorcycle,0.0,No,Metropolitian,28,17.045251004667662,15
26.0,4.9,Windy,Jam,0,Meal,motorcycle,0.0,No,Metropolitian,19,4.581557070783627,10
26.0,4.6,Stormy,Low,1,Snack,scooter,0.0,No,Urban,16,20.807497131813285,15
36.0,4.6,Stormy,Jam,0,Drinks,motorcycle,1.0,No,Metropolitian,37,4.553636902283276,15
25.0,4.5,Windy,Medium,2,Buffet,motorcycle,1.0,No,Metropolitian,20,7.774533589022428,10
27.0,4.2,Fog,Jam,2,Drinks,electric_scooter,1.0,No,Metropolitian,34,17.102420452439436,15
36.0,4.6,Cloudy,Jam,0,Snack,motorcycle,3.0,No,Urban,50,16.69650038652256,15
25.0,4.7,Sandstorms,High,2,Drinks,scooter,0.0,No,Urban,17,6.117886264150339,15
38.0,4.9,Cloudy,Medium,2,Snack,electric_scooter,1.0,No,Metropolitian,44,19.37243551628068,5
26.0,5.0,Windy,Jam,0,Snack,motorcycle,0.0,No,Metropolitian,25,12.142087258477051,10
32.0,4.7,Sunny,High,0,Drinks,motorcycle,1.0,No,Metropolitian,20,6.19725936328553,5
25.0,4.5,Windy,Jam,2,Snack,motorcycle,1.0,No,Metropolitian,18,7.536180450634203,15
33.0,4.4,Fog,Low,0,Meal,motorcycle,1.0,No,Metropolitian,36,13.377512044938445,5
31.0,4.7,Stormy,Jam,1,Drinks,scooter,1.0,No,Urban,28,7.7744964674610495,10
38.0,4.7,Windy,Low,0,Drinks,motorcycle,1.0,No,Metropolitian,28,10.586758847813408,15
30.0,4.7,Fog,Low,3,Drinks,motorcycle,0.0,No,Metropolitian,24,1.5073263645082942,0
35.0,4.7,Sandstorms,Low,2,Drinks,electric_scooter,1.0,No,Metropolitian,27,1.5341077478966478,15
21.0,4.9,Cloudy,Jam,1,Drinks,motorcycle,1.0,No,Metropolitian,30,19.87900471871662,10
36.0,4.9,Sunny,Low,1,Buffet,motorcycle,1.0,No,Metropolitian,19,7.443866993367354,15
24.0,4.7,Fog,Medium,0,Meal,motorcycle,1.0,No,Metropolitian,38,10.571531279029786,10
35.0,4.4,Sandstorms,Low,0,Meal,motorcycle,0.0,No,Metropolitian,26,3.1097872918366303,10
22.0,4.0,Sandstorms,Jam,0,Buffet,motorcycle,1.0,No,Metropolitian,31,16.611108704814665,15
23.0,4.5,Fog,Jam,0,Drinks,motorcycle,0.0,No,Metropolitian,49,12.395166302654383,10
31.0,4.7,Stormy,Low,2,Buffet,scooter,1.0,No,Metropolitian,28,20.16650477947619,5
35.0,4.6,Cloudy,Jam,0,Buffet,motorcycle,0.0,No,Urban,49,19.940329087742604,10
27.0,4.6,Sunny,High,2,Buffet,motorcycle,0.0,No,Urban,19,6.136195129563874,5
34.0,4.9,Sunny,Low,1,Snack,scooter,1.0,No,Urban,17,4.647779662813341,5
34.0,3.1,Sunny,Low,0,Drinks,motorcycle,1.0,No,Metropolitian,32,16.79744377860206,10
36.0,4.2,Windy,Medium,1,Drinks,scooter,1.0,No,Urban,36,17.040241344664327,15
25.0,4.8,Windy,Low,0,Drinks,motorcycle,1.0,No,Metropolitian,23,13.993565880995883,5
33.0,4.9,Fog,Jam,0,Buffet,motorcycle,1.0,No,Urban,27,7.747307276930582,10
38.0,4.0,Fog,Jam,2,Snack,scooter,1.0,No,Metropolitian,32,4.671900178445237,15
21.0,4.8,Windy,Jam,2,Drinks,motorcycle,1.0,No,Urban,26,4.554153294969161,5
38.0,4.3,Windy,Low,0,Snack,motorcycle,1.0,No,Urban,24,4.580670744184808,15
28.0,4.8,Fog,Medium,2,Snack,motorcycle,1.0,No,Metropolitian,38,10.983241696284242,10
22.0,4.9,Windy,High,1,Buffet,motorcycle,1.0,No,Urban,11,6.198367825068711,10
38.0,4.9,Fog,High,1,Drinks,motorcycle,1.0,No,Metropolitian,35,3.109779317553173,10
30.0,4.7,Fog,Low,3,Buffet,scooter,0.0,No,Metropolitian,39,9.062186152434844,0
28.0,4.6,Sandstorms,Medium,1,Meal,motorcycle,0.0,No,Urban,19,16.576886807242534,10
24.0,4.9,Cloudy,Low,0,Drinks,motorcycle,1.0,No,Metropolitian,24,13.764608571582343,10
35.0,4.6,Sunny,Jam,2,Snack,motorcycle,1.0,No,Metropolitian,21,9.042704737063055,5
39.0,3.5,Windy,Jam,2,Snack,electric_scooter,1.0,No,Metropolitian,42,16.614314977476777,15
30.0,4.7,Fog,Low,3,Meal,electric_scooter,1.0,No,Metropolitian,33,17.04428777154769,0
35.0,4.4,Sandstorms,Jam,2,Meal,scooter,0.0,No,Metropolitian,41,19.853047926026434,5
28.0,4.2,Fog,Jam,1,Buffet,scooter,0.0,No,Urban,35,20.39744277518833,15
29.0,4.5,Sandstorms,Low,0,Buffet,motorcycle,0.0,No,Urban,25,1.5269203557838738,10
30.0,4.7,Fog,Low,3,Buffet,scooter,1.0,No,Metropolitian,30,7.648136370477106,0
31.0,4.1,Stormy,Medium,2,Buffet,electric_scooter,1.0,No,Metropolitian,31,6.198608309962826,5
29.0,2.7,Sunny,Low,2,Buffet,motorcycle,1.0,No,Urban,32,13.610992426077738,15
25.0,3.1,Sunny,Low,1,Drinks,scooter,1.0,No,Metropolitian,36,13.59146576711273,5
34.0,4.9,Sandstorms,Low,2,Drinks,scooter,1.0,No,Metropolitian,24,13.944529384855876,5
26.0,5.0,Cloudy,Low,2,Buffet,scooter,0.0,No,Urban,12,1.4880477731583381,10
22.0,4.6,Windy,Jam,2,Meal,electric_scooter,0.0,No,Metropolitian,18,12.392594903405588,5
25.0,4.6,Stormy,Jam,2,Buffet,scooter,1.0,No,Metropolitian,23,9.32946504329119,10
24.0,5.0,Windy,High,2,Buffet,scooter,1.0,No,Metropolitian,28,2.9278755055804746,15
30.0,4.7,Fog,Low,2,Buffet,motorcycle,0.0,No,Metropolitian,15,4.530898781872517,0
23.0,3.3,Sunny,Low,2,Buffet,scooter,1.0,No,Metropolitian,31,13.739735417762162,5
26.0,4.7,Cloudy,Low,0,Snack,motorcycle,0.0,No,Metropolitian,20,3.053575446751881,15
20.0,4.8,Stormy,Medium,2,Snack,motorcycle,1.0,No,Metropolitian,27,5.951835744236669,10
36.0,4.5,Stormy,Medium,1,Meal,motorcycle,0.0,No,Metropolitian,29,6.205720759051468,15
25.0,5.0,Stormy,Jam,1,Buffet,scooter,1.0,No,Metropolitian,23,12.098952979699199,15
29.0,4.5,Fog,Low,2,Snack,electric_scooter,1.0,No,Urban,25,13.764718900460139,15
31.0,4.9,Sandstorms,Jam,0,Buffet,motorcycle,1.0,No,Metropolitian,46,4.648820436755552,15
20.0,4.7,Cloudy,Jam,1,Meal,motorcycle,1.0,Yes,Metropolitian,44,19.730013677494053,5
22.0,4.6,Sunny,Medium,1,Drinks,scooter,1.0,No,Metropolitian,15,10.624839550813707,15
21.0,4.8,Windy,Medium,0,Drinks,motorcycle,1.0,No,Urban,29,17.042779720771215,15
28.0,4.7,Fog,Jam,0,Drinks,motorcycle,0.0,No,Semi-Urban,49,16.873028456138552,5
34.0,4.8,Sandstorms,High,1,Buffet,motorcycle,1.0,No,Metropolitian,25,6.07211265889182,5
35.0,4.4,Sandstorms,Medium,0,Snack,motorcycle,1.0,No,Metropolitian,37,9.308437783690072,15
25.0,4.7,Sandstorms,Low,1,Snack,scooter,0.0,No,Urban,15,7.319148821157133,10
25.0,4.9,Stormy,Jam,1,Buffet,motorcycle,1.0,No,Metropolitian,15,17.03947169055914,5
24.0,4.6,Sandstorms,Low,1,Snack,scooter,0.0,No,Urban,11,3.0228915262292584,15
35.0,4.6,Sunny,Low,2,Buffet,motorcycle,1.0,No,Metropolitian,17,13.611101106406846,15
31.0,4.5,Sandstorms,Jam,1,Buffet,scooter,1.0,No,Metropolitian,25,13.941388211074049,5
30.0,4.9,Windy,Jam,0,Meal,motorcycle,2.0,No,Metropolitian,46,13.993481240858118,10
20.0,4.6,Sandstorms,High,0,Meal,motorcycle,0.0,No,Urban,20,5.961444229684625,15
30.0,4.5,Sandstorms,Medium,2,Drinks,scooter,1.0,No,Metropolitian,39,12.552275755914396,15
25.0,4.7,Fog,Low,0,Drinks,motorcycle,1.0,No,Urban,19,4.707104052532131,10
30.0,4.9,Windy,Jam,2,Drinks,scooter,1.0,No,Metropolitian,26,4.521558384389735,15
21.0,5.0,Stormy,Low,2,Meal,motorcycle,0.0,No,Metropolitian,10,16.610672955997156,10
27.0,4.7,Stormy,Jam,2,Meal,scooter,1.0,No,Urban,15,12.142076903171413,15
20.0,4.8,Stormy,Medium,1,Drinks,motorcycle,1.0,No,Metropolitian,24,20.16747676677092,15
27.0,4.8,Sunny,Medium,2,Drinks,electric_scooter,0.0,No,Urban,14,12.43898094828522,10
32.0,4.4,Stormy,Medium,0,Snack,motorcycle,1.0,No,Metropolitian,38,6.117381788100099,15
24.0,4.7,Sunny,High,1,Drinks,motorcycle,0.0,No,Metropolitian,10,6.041138156549961,10
34.0,4.4,Sunny,Medium,0,Drinks,motorcycle,0.0,No,Metropolitian,35,20.826810752741338,5
31.0,4.3,Sandstorms,Low,0,Snack,motorcycle,0.0,No,Metropolitian,33,4.588577905728297,5
34.0,4.7,Sunny,Medium,1,Snack,motorcycle,1.0,No,Metropolitian,28,17.064481964903436,5
31.0,4.7,Sandstorms,Low,1,Snack,motorcycle,1.0,No,Metropolitian,23,9.329217115744333,10
27.0,4.9,Sandstorms,Jam,0,Buffet,motorcycle,0.0,No,Metropolitian,16,9.32903485721948,15
37.0,4.1,Windy,Low,0,Meal,motorcycle,0.0,No,Metropolitian,33,1.5549501809798034,5
21.0,4.8,Cloudy,Low,2,Snack,scooter,1.0,No,Metropolitian,29,17.25937671693666,15
29.0,4.9,Windy,Medium,1,Drinks,motorcycle,1.0,No,Metropolitian,27,6.049844084741074,15
27.0,4.6,Sunny,Medium,2,Meal,electric_scooter,1.0,No,Metropolitian,16,13.961250521758789,15
27.0,4.8,Sunny,Jam,1,Meal,motorcycle,0.0,No,Metropolitian,18,10.844039790363599,5
23.0,4.8,Sunny,Low,1,Drinks,motorcycle,0.0,No,Metropolitian,17,3.109785419225475,5
28.0,4.8,Sunny,Jam,0,Snack,motorcycle,1.0,No,Urban,16,17.25937671693666,10
34.0,4.1,Stormy,Jam,2,Drinks,electric_scooter,1.0,No,Metropolitian,42,13.562011132719297,5
38.0,4.8,Sandstorms,Low,2,Drinks,motorcycle,0.0,No,Urban,21,13.962233538599422,15
36.0,4.9,Sandstorms,Low,2,Buffet,electric_scooter,0.0,No,Metropolitian,24,12.271760427740944,5
30.0,5.0,Sunny,Low,0,Drinks,motorcycle,1.0,No,Metropolitian,23,4.52214357884438,5
35.0,4.1,Stormy,Low,0,Snack,motorcycle,0.0,No,Metropolitian,23,1.5492757589011077,10
36.0,4.9,Stormy,High,0,Buffet,motorcycle,0.0,No,Metropolitian,35,6.196473600483353,10
30.0,4.5,Stormy,Medium,1,Snack,scooter,1.0,No,Metropolitian,27,7.5900237783184785,15
39.0,4.2,Windy,High,1,Meal,motorcycle,1.0,No,Metropolitian,32,6.229376076976494,10
24.0,4.4,Fog,Medium,1,Drinks,scooter,1.0,No,Metropolitian,39,13.941388211074049,15
29.0,4.1,Fog,Jam,2,Snack,motorcycle,1.0,No,Metropolitian,35,10.901848948377156,5
30.0,4.3,Windy,Low,0,Snack,motorcycle,1.0,No,Metropolitian,29,3.0250084659147034,10
36.0,4.4,Windy,Jam,1,Snack,motorcycle,1.0,No,Metropolitian,36,17.04130909080179,10
36.0,4.7,Windy,Jam,0,Snack,motorcycle,0.0,No,Metropolitian,45,4.5374753491265345,15
25.0,3.1,Sunny,Low,1,Drinks,motorcycle,1.0,No,Urban,42,13.944512755807573,5
26.0,4.9,Stormy,Low,2,Buffet,electric_scooter,0.0,No,Metropolitian,12,20.862547084061944,10
29.0,4.5,Cloudy,Medium,1,Drinks,scooter,0.0,No,Metropolitian,25,20.142918601975556,10
36.0,4.8,Sunny,High,1,Drinks,motorcycle,0.0,No,Metropolitian,16,3.1380694073889375,15
36.0,4.8,Stormy,Low,2,Buffet,motorcycle,1.0,No,Urban,19,10.549643455118284,10
28.0,4.4,Fog,Jam,1,Meal,scooter,1.0,No,Metropolitian,40,19.631219158599137,5
22.0,5.0,Cloudy,Low,1,Snack,motorcycle,0.0,No,Metropolitian,12,7.56227329901927,5
33.0,4.6,Sunny,High,1,Meal,motorcycle,1.0,No,Urban,23,6.197859747845191,5
32.0,4.7,Stormy,Jam,1,Drinks,motorcycle,1.0,No,Urban,29,7.451902354165459,5
35.0,3.7,Stormy,Jam,1,Buffet,scooter,1.0,No,Metropolitian,32,19.58824065849606,15
32.0,4.9,Windy,Medium,1,Buffet,scooter,1.0,No,Metropolitian,22,10.578451524753534,5
25.0,5.0,Cloudy,Medium,2,Buffet,scooter,0.0,No,Urban,12,9.107284201919228,10
31.0,4.6,Stormy,Jam,1,Buffet,scooter,1.0,No,Metropolitian,26,4.571549015998314,10
34.0,4.3,Cloudy,Medium,0,Buffet,motorcycle,0.0,No,Metropolitian,33,6.106736943461254,5
20.0,5.0,Stormy,Jam,0,Snack,motorcycle,1.0,No,Metropolitian,35,4.602205335871527,15
50.0,6.0,Fog,Low,3,Drinks,scooter,1.0,No,Urban,17,10.846831391714208,0
28.0,4.8,Fog,Jam,0,Buffet,motorcycle,2.0,No,Metropolitian,43,13.804833300940194,10
30.0,4.7,Fog,Jam,0,Drinks,motorcycle,2.0,No,Urban,40,10.738078032534391,0
27.0,4.3,Stormy,Low,0,Buffet,motorcycle,1.0,No,Urban,24,4.647779662813341,5
36.0,4.9,Sunny,Low,2,Buffet,scooter,1.0,No,Urban,20,20.942318650656375,5
24.0,4.9,Sandstorms,Jam,1,Drinks,scooter,0.0,No,Metropolitian,25,4.648349677934942,10
36.0,4.0,Cloudy,Low,0,Snack,motorcycle,1.0,No,Metropolitian,36,16.79920368367176,5
20.0,4.9,Sunny,Jam,1,Buffet,scooter,0.0,No,Metropolitian,10,13.993143509520417,15
23.0,2.7,Sunny,Low,2,Drinks,scooter,1.0,No,Urban,37,17.102966201435645,10
32.0,3.8,Sunny,Jam,2,Snack,scooter,1.0,No,Metropolitian,32,10.844828262382588,15
39.0,4.8,Sunny,Medium,2,Snack,motorcycle,1.0,No,Metropolitian,17,6.205285279769409,15
21.0,4.8,Cloudy,Low,0,Meal,motorcycle,1.0,No,Metropolitian,22,10.571180956867906,5
20.0,4.7,Fog,Low,0,Buffet,motorcycle,1.0,No,Metropolitian,22,17.045028259070932,10
28.0,4.6,Stormy,Low,0,Meal,motorcycle,1.0,No,Metropolitian,22,16.611554699066566,5
21.0,4.7,Fog,Low,1,Buffet,motorcycle,1.0,No,Urban,15,8.92770872590907,5
25.0,4.6,Sandstorms,Low,2,Buffet,motorcycle,1.0,No,Urban,14,13.993143509520417,15
33.0,5.0,Cloudy,Low,1,Drinks,motorcycle,0.0,No,Metropolitian,16,3.0989894697047937,5
27.0,4.6,Sunny,Jam,0,Drinks,motorcycle,1.0,No,Urban,32,14.121309628180253,5
37.0,4.6,Sandstorms,Jam,2,Meal,scooter,1.0,No,Metropolitian,27,13.806307264632855,5
27.0,4.9,Sunny,Medium,0,Meal,motorcycle,1.0,No,Urban,20,4.647989396386271,5
30.0,4.1,Sandstorms,Jam,0,Meal,motorcycle,2.0,No,Metropolitian,52,16.635239139962547,10
29.0,4.9,Fog,Low,0,Snack,motorcycle,1.0,No,Metropolitian,15,1.4880952616573853,5
37.0,3.6,Sandstorms,Medium,1,Snack,scooter,1.0,No,Metropolitian,36,13.942066201434983,15
37.0,3.6,Stormy,Medium,1,Meal,motorcycle,1.0,No,Urban,34,10.625702124383546,10
26.0,4.7,Sunny,Low,2,Buffet,electric_scooter,1.0,No,Metropolitian,25,10.62503240483848,10
32.0,4.6,Sunny,High,1,Drinks,motorcycle,1.0,No,Metropolitian,22,1.5267378464998722,15
31.0,4.4,Sandstorms,Jam,1,Meal,motorcycle,1.0,No,Metropolitian,35,11.968223119507524,10
24.0,4.1,Sandstorms,Low,0,Meal,motorcycle,0.0,No,Metropolitian,15,7.451962460819398,5
24.0,4.6,Sandstorms,Low,1,Meal,scooter,1.0,No,Urban,17,20.839226755308367,15
23.0,4.3,Sandstorms,Medium,0,Drinks,motorcycle,1.0,No,Metropolitian,35,13.599605081795122,15
26.0,4.9,Fog,Low,0,Buffet,motorcycle,1.0,No,Metropolitian,20,3.0145952544337877,15
26.0,4.9,Fog,Low,0,Buffet,motorcycle,1.0,No,Urban,16,3.035926030506786,15
30.0,5.0,Sandstorms,Medium,2,Snack,electric_scooter,1.0,No,Metropolitian,30,9.062186152434844,15
20.0,4.7,Fog,High,0,Meal,motorcycle,0.0,No,Metropolitian,21,6.276138627413788,15
28.0,4.9,Sandstorms,Jam,0,Snack,motorcycle,1.0,No,Metropolitian,31,4.553796163736469,10
39.0,4.9,Sunny,Low,0,Meal,motorcycle,1.0,No,Metropolitian,23,2.9761590211443525,5
50.0,6.0,Fog,Low,3,Snack,bicycle,1.0,No,Metropolitian,32,10.549456138286754,0
22.0,5.0,Stormy,High,0,Buffet,motorcycle,1.0,No,Urban,28,1.4881912567305338,15
33.0,4.9,Sunny,Medium,1,Drinks,scooter,0.0,No,Metropolitian,25,13.739092156271393,10
23.0,4.6,Sunny,Jam,2,Snack,scooter,0.0,No,Urban,17,4.64802423339136,10
24.0,4.7,Sunny,Jam,2,Snack,electric_scooter,0.0,No,Metropolitian,19,4.602127561785206,10
34.0,5.0,Stormy,Low,1,Meal,motorcycle,1.0,No,Urban,25,1.5073402472838096,10
39.0,4.1,Stormy,Low,0,Buffet,motorcycle,1.0,No,Metropolitian,25,1.5340818368746136,10
30.0,4.7,Stormy,Low,1,Buffet,scooter,1.0,No,Metropolitian,22,12.552275755914396,0
24.0,4.5,Windy,Jam,1,Meal,scooter,1.0,No,Metropolitian,15,19.842513058983965,5
29.0,4.8,Sunny,Jam,2,Snack,scooter,0.0,No,Metropolitian,19,4.553796163736469,15
38.0,4.6,Windy,Low,2,Buffet,electric_scooter,1.0,No,Metropolitian,25,3.025054466412277,15
